Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Afghanistan,AFG,12528.0165,12307.0638,11370.4531,11390.8748,11290.6882,11635.6594,12505.9308,13343.25,13530.953,13842.7381,14709.884,14654.374,14770.2643,14849.1594,15272.633,15288.7756,15554.4294997907,17791.3299018728,17981.3072867677,18168.8632027705,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Albania,ALB,11112.72956,8273.6324,6227.1532,6067.1799,6793.7963,6421.5713,6187.3841,5500.607,8389.2767,7503.05976,7834.0157,7401.10155,8308.3856,8027.14955,9879.3935,8136.785,8108.81238694848,8506.99603431525,8712.29636455369,8898.64091140274,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Algeria,DZA,106445.8175,111649.003,121636.28,122490.489,118601.888,123799.179,123728.789,123971.393,133778.197,131222.654,139592.331,139846.684,146241.499,151655.372,157333.425,160415.277,160849.926561587,167674.633000695,172303.509195404,176471.226769797,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,American Samoa,ASM,20.3813783,20.9670057,21.5104445,21.9988903,22.4541277,22.8843444,23.263078,23.6153334,47.656033,51.34821,51.838339,52.320385,52.801179,53.30204,53.913983,54.616323,54.9893494063012,56.6374866017899,57.7435092847854,58.7655192902151,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Angola,AGO,50806.5426914,43761.081269,64997.83986,39775.10719,44657.243349,48230.298638,47136.215785,33091.22462,34780.6811,34490.369,35858.015,36860.2334,35855.7384,36375.822,36690.534,37396.294,38309.4651264052,40029.3921005695,40878.6519582578,41657.1648460299,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Antigua and Barbuda,ATG,372.28777,373.358162,371.519605,359.195,380.851656,391.94411,390.009674,362.381053,398.694259,406.432042,418.837958,449.002494,454.070617,463.565714,478.083878,491.89739,493.441214713815,521.051312844337,537.80583894233,552.747914304263,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Argentina,ARG,266555.03,267188.7341,272139.1851,276522.7527,270948.3575,275096.4092,288246.2679,299708.76,331450.87,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.065636756,364684.253845885,372873.14375805,380295.320368897,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Armenia,ARM,24729.9166,25425.6997,14512.5941,8362.9081,6107.5421,6710.3697,5992.235,6719.5874,6867.7102,6460.2393,6973.88104,7633.471,8401.8162,8743.5088,9323.71758,12469.983,11235.0892664869,11393.0393525219,12417.7361164488,12319.3896093062,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Aruba,ABW,642.997262,652.026274,689.622462,712.920215,728.555776,731.757231,209.925714,972.6249,272.910521,280.555868,280.363075,281.1977,286.973571,307.739311,343.654819,365.627213,366.241353554348,387.904772272898,401.203383231042,413.035551253609,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Australia,AUS,482298.262,499346.73,486991.982,479463.744,522429.54,489294.147,508882.826,921012.05,1081244.41,1117450.02,1023667.58,1144343.87,909262.03,1119632.1,1065623.87,892629.27,1105167.23617132,782102.692196849,785795.149950158,761686.273857649,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Austria,AUT,79836.956,83261.989,79225.277,79387.983,79755.728,82480.629,85648.272,84731.328,82686.748,87386.68817,92659.8411,96330.90703,97552.85369,95636.729,93276.758,94608.82183,89046.7550242494,94172.3509433563,92315.0525967119,90460.2102892241,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Azerbaijan,AZE,78096.61988,78972.5094,56131.5696,52463.9724,48457.563,42526.7923,38971.0609,37665.0413,42646.5596,40298.546,44116.8124,45005.7333,47617.1667,48492.2848,45144.106,53832.8169,49623.1778669541,50724.569637349,53982.832512624,56537.0817767984,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Bahamas, The",BHS,3593.57477,3468.70897,3078.14873,2959.42421,3183.01919,3532.12805,3856.64638,3535.75405,3185.22211,3255.00095,3556.08428,3731.96845,3854.11183,4014.02012,4128.8887,4339.66058,4335.92690568024,4570.35755329238,4726.37931595067,4865.20676738915,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bahrain,BHR,17050.70875,14435.82175,15182.03779,15330.08717,15216.51324,15330.07486,15986.51835,16914.4671,18248.39465,19967.0134,20539.28874,21451.12298,23432.38192,25118.2166,26614.11515,29223.02527,29249.5794618954,30921.9708369881,31941.0424444878,32849.1057287728,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bangladesh,BGD,126701.696,126700.013,128626.244,128901.676,131295.609,136508.329,139004.894,140107.011,136012.9,143812.573,146424.251,147368.17,151091.702,155320.504,161041.755,164700.503,169927.913290136,177504.473602208,180498.432989672,183300.562417687,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Barbados,BRB,1199.66709,1244.59137,1236.772,1128.72586,1092.96237,1099.5552,1083.64219,1123.04133,1313.94728,1263.73575,1244.328,1277.27957,1310.42268,1309.94482,1357.35557,1370.84117,1371.76607292313,1449.42611368458,1497.6461338935,1540.61570884268,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belarus,BLR,185411.7606,181585.196,170164.142,153338.533,139895.776,130352.351,130526.99,131300.395,83387.545,89727.105,82041.116,85627.1607,89989.7232,94475.092,95710.8225,100860.1753,101754.791693808,108204.547178591,108921.434693533,109647.238750262,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belgium,BEL,137872.522,142753.293,141130.179,138758.062,144398.146,146712.334,153314.451,149509.673,147051.2,138048.514,144031.572,141187.993,136696.039,134802.749,131823.167,137213.867,131110.289477906,138029.410871298,137517.867915404,133373.684007061,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belize,BLZ,632.71626,690.12368,632.68533,608.19031,592.85392,602.92931,573.96312,662.67149,1676.47151,1702.5859,3604.31407,1146.08805,2022.18417,1276.55753,1802.16292,1408.14902,1534.36458313462,1498.87844951416,1536.23743731011,1569.8585030674,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Benin,BEN,47187.972,38173.353,44052.771,41176.349,41216.989,45322.666,45079.96,46264.141,40254.008,47757.344,36885.5379,31729.03,48572.5105,36385.6729,39886.08,37639.925,38068.3747296726,33029.8223452635,33289.5519203445,33533.0967333661,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bermuda,BMU,652.962347,581.547884,465.680133,471.025788,491.291126,496.769905,504.096508,421.154713,518.971347,527.096286,543.012595,591.967514,584.756357,600.515297,539.779525,560.027695,561.263745445672,594.651571750838,614.875651538293,632.876992070822,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bhutan,BTN,1280.14329,1276.91591,1594.97773,1592.25522,1614.67015,1647.8881,1663.93339,1597.10382,2309.76196,1707.60039,1467.57296,1623.24209,1617.86441,1966.3538,2326.55307,1908.28623,2190.92068373641,3220.40038033772,3259.60738958883,3296.96372502552,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bolivia,BOL,192645.695,183161.879,194819.313,213989.647,156530.706,170371.969,176121.301,179070.817,91400.932,110701.193,124597.495,252571.289,309458.392,164214.818,227561.899,120003.253,76425.9663518695,102900.515628915,620981.955546628,621726.72675282,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bosnia and Herzegovina,BIH,31318.60314,28192.9298,21575.3998,18493.9255,6509.4908,6576.4909,7102.689,11979.3901,22492.9083,17112.299,18645.7857,20000.8367,20780.3563,22772.2341,24673.0881,24236.6085,24471.8965485269,25619.3313185136,26405.844115572,27108.4002030228,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Botswana,BWA,13373.085,10963.44,15494.416,9194.838,11082.387,12152.995,10207.063,10100.556,39682.4972,51450.302,17482.9867,23886.7099,24188.461,43484.6626,26082.8828,73051.1312,22941.9658476252,81652.255603953,81891.0361459063,82110.2767551773,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Brazil,BRA,1606209.334,1569962.22,1649183.804,1772640.53,1455453.224,1574445.629,1613760.437,1647413.793,1222630.43,1591827.05,1624554.7,1967427.39,2386439.68,1621079.23,2703498.56,1532859.83,1211969.40849959,2902242.61816138,2953040.51916222,2989417.95671697,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,British Virgin Islands,VGB,72.916993,71.620494,74.447471,69.399392,72.027926,73.41429,80.056578,70.522198,77.705766,78.999858,86.772957,92.91688,94.077216,96.799727,108.787188,113.710494,114.039566194226,119.867609183181,123.516315347448,126.783599443422,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Brunei Darussalam,BRN,18366.774,17604.6499,23079.6397,20217.9684,19028.9318,21264.6758,18153.2029,18632.4017,9649.3964,9840.8143,10762.0383,10320.0957,10968.956,13195.2164,12998.2302,13738.0621,13549.7996975112,14123.5980784977,14494.4915224535,14828.9670065495,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bulgaria,BGR,108086.0268,85680.649,80517.317,78824.069,76810.448,81769.919,82852.671,78532.982,66195.088,63711.0187,70024.0292,68865.659,68542.7723,69900.815,72526.719,71720.335,65132.8579,67945.3135,72946.6230665323,67942.6956330647,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Burkina Faso,BFA,12151.01,11859.682,12607.862,12855.325,13311.2,14072.242,14494.959,15472.865,46470.1,50062.477,43713.288,43284.41,47809.697,41364.167,43631.841,40706.298,43473.0978945734,43405.9091881049,43660.150208767,43910.4023930555,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Burundi,BDI,2798.9396,2883.2595,2922.8265,3021.6248,2976.8045,2998.9438,3046.7436,3059.7969,3398.8732,5029.5112,5258.7489,5370.4398,5302.3078,5553.3479,5477.675,5724.9553,5925.87668691856,6040.9823701579,6151.9955362651,6254.37102422528,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cabo Verde,CPV,208.23803,217.50128,237.22145,239.32335,228.66732,252.28469,233.24162,248.79533,333.35502,309.03741,317.10669,335.58995,362.75683,344.53774,359.77141,369.11656,376.400422517821,395.335709236794,403.671489287392,411.32501125158,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cambodia,KHM,19521.916,18192.216,20825.936,20024.625,17755.656,20790.181,19023.223,19550.569,42118.313,108594.633,105986.662,178379.097,101252.49,102119.769,197112.044,120478.859,87674.9467919816,126272.197590116,126838.759921248,127399.586925028,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cameroon,CMR,97554.79,80901.324,91207.085,86690.476,83214.571,90767.146,89198.538,90784.241,163101.039,128242.366,167009.843,97585.679,160728,123887.438,120331.649,120917.192,116739.191913519,99823.2841036055,100386.545956658,100922.136209962,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Canada,CAN,608685,626149.44,618673.62,655593.66,807222.82,836025.63,698763.38,690068.75,760643,908686.15,951373.04,1040136.77,849798.74,894922.55,892066.85,908926,749863.654006812,764137.675301163,1033481.98200961,1027063.85487082,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cayman Islands,CYM,297.396063,307.345957,304.096754,265.407542,301.839458,332.31465,331.221815,276.253328,305.997412,311.225218,310.360386,346.17737,346.477973,350.822598,378.938689,397.522851,398.460760394869,422.028104191293,436.231619029776,448.880938380706,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Central African Republic,CAF,146226.244,106093.741333333,130433.507666667,117616.745333333,116019.753,133886.529,129536.672666667,132321.703666667,499622.058,350970.59,532900.056,345419.435,455529.683,595439.934,695449.724,603473.098,428273.612164627,511442.689268757,513289.515718343,515134.078641482,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chad,TCD,18338.288,15273.507,17296.592,16302.578,16295.452,17935.686,17780.528,18882.932,129247.645,127184.569,132429.25,125121.297,123870.949,127646.749,128596.504,119558.378,102031.53812638,109130.415140564,109463.638704445,109796.019972251,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,54730.277,52935.482,55414.762,58446.329,62276.668,66432.85,73626.892,82392.688,90384.583,91214.148,94236.304,99878.505,101594.281,101965.01,113127.232,111021.043,110404.531907509,114284.996586273,117661.680608773,120687.892409947,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,China,CHN,3892675.1604,4035212.6074,4172493.2948,4398290.8204,4613489.2474,5042349.1204,5181880.5144,5113706.8544,5082325.6,5474914.9,6226962.5,7116642.4,7803535.6,8573395.4,9124046.5,10022024.8,10617264.9,11183810.6,12064260.00255,12454710.6051,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Colombia,COL,174396.943,172087.4622,178473.7778,188778.681,170315.8152,179102.1058,183442.777,188061.8842,164520.425,148233.516,162980.741,174608.711,150617.798,151546.735,177034.101,167450.086,171912.029047431,166695.866929375,170199.57902723,173411.767914881,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Comoros,COM,294.3718926,295.363796,294.837318,301.68603,308.26834,317.95392,325.15124,331.38885,365.90311,406.26874,387.33211,389.6349,480.84327,385.28317,513.65354,579.093,531.670002296986,543.622185158965,554.335660086527,564.2206617218,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Congo, Dem. Rep.",ZAR,1376921.73,1148406.95,1824184.38,1049951.77,1219214.38,1232299.89,1050676.58,998227.15,861822.71,763919.42,748084.2,816309.43,794528.22,922488.68,895387.99,754085.86,731884.62677823,799228.673149844,800756.941604716,802271.302846335,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Congo, Rep.",COG,63552.840401,54144.48936,81648.22119,50189.7587,56841.9658,57957.634,51566.388,49792.182,28435.401,24853.8734,34876.586,34296.33,38914.474,37981.7162,34160.312,31049.211,34611.2805484124,35247.1649100242,35504.4557838841,35743.9185202452,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Costa Rica,CRI,8593.78662,8911.0919,10124.4642,10053.9053,10457.2953,10054.8498,9907.2872,9924.6088,9851.2703,9998.1717,10415.8412,10571.6665,10095.2385,10715.1246,11298.0278,10806.5413,11067.7508013063,11684.5675043084,11994.6875158322,12274.1340926836,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cote d'Ivoire,CIV,152200.604,123933.505,142539.491,133509.605,133399.834,147447.844,145020.625,148926.935,29442.742,28670.943,22407.145,22931.735,26282.736,27248.765,27859.552,29682.239,30685.2342736302,32525.2533486886,33027.4827204803,33502.160237923,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Croatia,HRV,34734.33116,26347.55991,24794.92522,24880.32833,24087.79944,24621.25356,24101.40167,26444.91278,27312.045,28301.7261,30011.8762,29691.5132,29863.54461,30290.0744,33301.0976,32938.0609,31461.0364,31172.6453,30453.5113317779,30421.0493635559,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cuba,CUB,57043.9724,50969.229,46322.717,43694.766,45487.643,46584.977,48578.107,49638.525,46257.54,48831.036,48493.237,48579.217,45763.451,45505.476,44012.986,48557.436,50545.3964985048,49782.5314025299,51170.7478479685,52418.4556499535,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cyprus,CYP,5130.35771,5706.58558,6071.51999,6262.59944,6692.74486,6594.24968,6931.64803,7004.32781,7952.74819,8040.81118,8896.65236,8725.29901,8911.6747,8761.86464,9077.2757,9165.95482,7716.27396,7563.8018,7652.33091598057,7431.19345348047,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Czech Republic,CZE,196206.7838,178391.636,167251.292,158445.711,151011.564,150508.561,154942.057,149454.444,162021.192,152372.4188,157836.1244,152079.88929,147551.436,147768.299,149838.95488,144072.577,137877.28962,145706.917,144613.247371501,138957.424743003,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Denmark,DNK,72484.035,83046.294,76784.979,79296.696,82945.802,79490.347,92887.163,83193.33,68553.546,69387.745,75002.52631,68854.75541,64816.68547,72755.336,67993.19979,65167.02911,63012.0156546705,63679.0897800674,58416.0447370069,53703.2239270284,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Djibouti,DJI,1821.59311,1920.30307,1767.07926,1790.1536,1825.03911,1914.42352,1915.84389,2018.25084,1969.1694,2019.00941,2094.82443,2115.89772,2160.03724,2149.82654,2432.43131,2518.567,2523.21548727578,2629.83257395005,2701.62250690939,2766.30381501414,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Dominica,DMA,130.666114,130.209383,130.022749,127.385527,138.259049,140.324977,140.930947,132.074561,140.86978,159.091129,162.647925,175.050583,174.603343,191.163414,195.278392,202.798108,203.107461505429,211.314184610682,217.382774399324,222.835577813651,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Dominican Republic,DOM,17001.1508,17837.37014,19815.45404,19630.34268,21226.56948,22043.95752,23333.57392,25012.87426,28492.2016,29253.3232,28367.1271,28493.9958,29247.7907,29635.7214,30393.1473,30646.076,30499.8469375531,31668.7077187034,32578.1585810517,33395.0844298818,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ecuador,ECU,30859.4911,32029.751,33098.36,33609.924,36622.328,38984.728,41250.815,41388.371,39805.121,42616.27,44122.401,45931.824,47049.334,48495.587,49801.889,47603.308,49448.3280129417,50320.6980317543,51593.6633841968,52746.5726940589,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Egypt, Arab Rep.",EGY,139101.6501,141847.456,148268.623,150970.47,146652.195,155524.883,159241.031,165320.704,184459.7407,202779.0124,211890.8016,223361.4238,243789.5327,256320.5954,266252.2745,269736.626,266325.429884229,280255.576563894,288287.828043016,295499.745446082,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,El Salvador,SLV,6685.708201,7558.800082,8044.88808,8323.3196,9025.1887,9244.0507,9079.1212,10076.6089,10344.8258,11242.8073,11251.2782,11578.8968,11528.2484,11690.5465,12085.9588,11979.6733,11911.5614974884,11978.8533908473,12293.6068691146,12577.7897375628,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Equatorial Guinea,GNQ,243.380047,656.363545,1057.039888,1476.239755,1878.04334,1991.990874,2146.816459,2937.211666,4048.32908,4392.64192,4700.1844,5553.97954,5675.88963,5693.14183,5927.13969,5766.37061,5840.52221773663,6099.11390788911,6243.10307072571,6374.17105425022,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Eritrea,ERI,3335.2411,3334.6589,3688.5283,3457.7812,3603.5561,3751.3187,4186.3125,4543.0152,4981.2584,4456.5509,4481.7148,4532.7421,4476.2926,4483.4227,4868.8631,4954.7574,4751.093152378,4844.785693043,4912.88017286787,4977.88803281947,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Estonia,EST,55787.31741,51527.4219,41259.5838,34874.9733,34255.4135,31933.334,32604.2831,32114.2147,17768.8082,22955.3596,19449.73738,20024.42742,20053.5829,19628.3862,23503.7062,21871.9123,18815.60914,22767.1259,24378.846055451,23292.7792109021,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ethiopia,ETH,67300.580553,63661.39064,68922.40705,65357.9845,65880.9686,69202.104,71509.731,73810.378,183617.668,186749.543,171731.661,175248.634,200010.181,175184.51,189006.75,175266.23,182032.58408693,182771.197854415,184045.876084179,185292.168103158,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Faroe Islands,FRO,51.384864,51.750195,52.119561,52.596633,52.85277,53.128706,53.363348,53.668191,43.94297,44.106747,44.318408,44.58465,44.810187,45.057112,45.353056,45.688811,46.0288441264185,46.5101708393574,47.0270853151734,47.5359335500332,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Fiji,FJI,2328.8648,2172.7677,2001.1226,2100.3313,2084.0727,2182.1965,2222.8921,2217.2037,1574.6846,1806.9992,1931.6877,1810.4797,1836.0699,1945.9711,2097.6959,2123.9629,2336.07495179159,2163.92228733812,2213.24287418135,2258.17305672094,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Finland,FIN,75555.06141,75468.13313,71840.83651,73474.77034,80759.09578,77426.35974,83954.85492,82093.03433,75117.479,83951.8501,95013.026,88571.158,76199.7899,88152.9764,85742.2331,78384.73416,74993.8863442864,84371.5387256094,76124.6255948726,69072.9387223345,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,France,FRA,554685.28,580971.95,564014.19,541094.38,538140.6,543013.14,572529.08,565220.99,559922.199,557850.1275,564607.176,560648.8432,557130.1263,547361.3761,540947.1359,544424.0617,527525.776542167,532133.040360555,502656.654982811,499146.634492193,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,French Polynesia,PYF,1014.46011,970.22494,960.66803,956.92728,758.91542,777.49719,778.38643,821.24715,610.09538,569.91726,654.36042,657.54479,678.19443,653.20842,689.488,717.56322,716.596642090272,754.737560047553,778.586485586382,799.897576604797,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Gabon,GAB,12276.85768,11480.43134,14096.5123,11793.39091,12266.2763,13230.3662,13569.32261,12977.42718,32923.10176,12656.0146,14728.7863,15137.5402,14185.9193,13966.24445,13080.5403,61809.4079,14325.6426511649,34053.552420328,34324.7623145748,34570.626576672,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Gambia, The",GMB,1189.5885,1142.19488,1179.6009,1164.03682,1195.51436,1244.1703,1240.7395,1251.1653,2864.9869,3407.835,2438.47282,3115.4536,3001.6,3751.6136,4029.4209,3350.4432,3012.97665945821,3481.57320442381,3505.92445910053,3529.23152956181,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Georgia,GEO,38220.5924,31422.526,27307.6154,23015.2493,16492.9776,13616.2717,12931.4294,12076.9571,11554.305612,20647.4741,9653.4444,10168.475,11190.1678,11840.2366,12884.9934,12282.1374,13250.1200201929,13108.6237650807,14665.8003034717,14627.7492943065,..,..,..,..
